requirement_id,phase,source_document,requirement,test_ids,result,evidence,gap
P0-REQ-001,Phase 0,Implementation Roadmap Phase 0,Python package installs and imports without PYTHONPATH,P0-001;P0-WHEEL-001,PASS,environment.md,Editable install verified; optional wheel check not executed because build is undeclared
P0-REQ-002,Phase 0,Implementation Roadmap Phase 0,Typer CLI help and doctor are runnable,P0-002;P0-003,FAIL,test-matrix.csv,Doctor omits requested configuration and database status
P0-REQ-003,Phase 0,Implementation Roadmap Phase 0,FastAPI starts and exposes health and OpenAPI,P0-004;P0-005;P0-006,PASS,integration-test-report.md,
P0-REQ-004,Phase 0,Implementation Roadmap Phase 0,Streamlit imports and starts without fabricated operational data,P0-007;P0-008,PASS,integration-test-report.md,
P0-REQ-005,Phase 0,Implementation Roadmap Phase 0,Ruff mypy and pytest pass,QUALITY-001,PASS,artifacts/test-reports/phase-00-02/,
P0-REQ-006,Phase 0,Project Plan safety boundary,Repository contains no secrets runtime data or unsafe capture artifacts,P0-010,PASS,integration-test-report.md,
P0-REQ-007,Phase 0,Project Plan documentation,Implemented and planned scope are truthful,P0-009,FAIL,known-defects.md,README branch-status sentence is stale though Phase 3 remains clearly unimplemented
P1-REQ-001,Phase 1,Implementation Roadmap Phase 1,Typed defaults YAML and environment precedence,P1-CONFIG-001;P1-CONFIG-002;P1-CONFIG-003,PASS,tests/integration/test_phase_00_02_foundation.py,
P1-REQ-002,Phase 1,Implementation Roadmap Phase 1,Invalid configuration is rejected and secrets redacted,P1-CONFIG-005;P1-CONFIG-006;P1-CONFIG-008,PASS,tests/unit/test_config.py,Log-level field itself is not part of Phase 0-2
P1-REQ-003,Phase 1,Implementation Roadmap Phase 1,Pydantic domain schemas validate invariants,QUALITY-001,PASS,tests/unit/test_schemas.py,
P1-REQ-004,Phase 1,Implementation Roadmap Phase 1,SQLite initialization is repeatable and versioned,P1-DB-001;P1-DB-002;P1-DB-006;P1-DB-007,PASS,tests/integration/test_phase_00_02_foundation.py,
P1-REQ-005,Phase 1,Implementation Roadmap Phase 1,SQLite enables WAL foreign keys and bounded busy timeout,P1-DB-003;P1-DB-004;P1-DB-005,PASS,tests/integration/test_phase_00_02_foundation.py,
P1-REQ-006,Phase 1,Implementation Roadmap Phase 1,Repositories support durable CRUD pagination and rollback,P1-DB-008;P1-DB-009;P1-DB-010;P1-DB-011;P1-DB-012,PASS,tests/integration/test_phase_00_02_foundation.py,
P1-REQ-007,Phase 1,Implementation Roadmap Phase 1,Audit records are append-only and durable,P1-DB-013,PASS,tests/integration/test_phase_00_02_foundation.py,
P1-REQ-008,Phase 1,Implementation Roadmap Phase 1,Empty database API and frontend start safely,P1-DB-014;P1-DB-015,PASS,integration-test-report.md,
P2-REQ-001,Phase 2,Implementation Roadmap Phase 2,Unified ingestor contract supports PCAP CSV JSON and sample adapters,P2-SUCCESS-001;P2-SUCCESS-002;P2-SUCCESS-005;P2-SUCCESS-008;P2-SUCCESS-011,PASS,tests/e2e/test_phase_00_02_integration.py,
P2-REQ-002,Phase 2,Implementation Roadmap Phase 2,PCAP upload is safely framed without flow extraction,P2-SUCCESS-002;P2-SUCCESS-003;P2-SUCCESS-004;P2-NEG-001;P2-NEG-002;P2-NEG-003;P2-NEG-004;P2-NEG-005,PASS,tests/security/test_ingestion_security.py,No packet decoding or NetworkFlow generation claimed
P2-REQ-003,Phase 2,Implementation Roadmap Phase 2,Flow CSV validates required schema and malformed inputs,P2-SUCCESS-005;P2-SUCCESS-006;P2-SUCCESS-007;P2-NEG-006;P2-NEG-007;P2-NEG-008,PASS,tests/security/test_ingestion_security.py,CSV rows are not Phase 3 feature records
P2-REQ-004,Phase 2,Project Plan telemetry boundary,Structured JSON and JSONL validate records,P2-SUCCESS-008;P2-SUCCESS-009;P2-SUCCESS-010;P2-NEG-009;P2-NEG-010,PASS,known-defects.md,Initial JSONL staging defect resolved by 6042097
P2-REQ-005,Phase 2,Implementation Roadmap Phase 2,Controlled local samples are allowlisted and checksum verified,P2-SUCCESS-011;P2-SUCCESS-012;P2-SUCCESS-013,PASS,tests/e2e/test_phase_00_02_integration.py,Manifest includes PCAP and CSV; JSON uses temporary fixtures
P2-REQ-006,Phase 2,Implementation Roadmap Phase 2,Jobs expose durable lifecycle progress status and safe errors,P2-SUCCESS-014;P2-SUCCESS-017;P2-SUCCESS-018;P2-NEG-001;P2-NEG-018;P2-NEG-019,FAIL,known-defects.md,Database outage cannot persist a traceable failed job
P2-REQ-007,Phase 2,Implementation Roadmap Phase 2,SHA-256 integrity and safe storage prevent overwrite and traversal,P2-SUCCESS-015;P2-SUCCESS-016;P2-NEG-014;P2-NEG-015;P2-NEG-016;P2-NEG-017,PASS,tests/security/test_ingestion_security.py,
P2-REQ-008,Phase 2,Implementation Roadmap Phase 2,Extensions media types content and sizes are constrained,P2-NEG-011;P2-NEG-012;P2-NEG-013,PASS,tests/security/test_ingestion_security.py,
P2-REQ-009,Phase 2,Implementation Roadmap Phase 2,API and CLI expose ingestion and job retrieval,P2-SUCCESS-003;P2-SUCCESS-004;P2-SUCCESS-006;P2-SUCCESS-007;P2-SUCCESS-009;P2-SUCCESS-010;P2-SUCCESS-012;P2-SUCCESS-013;P2-SUCCESS-019,PASS,tests/e2e/test_phase_00_02_integration.py,
P2-REQ-010,Phase 2,Project Plan safety boundary,Ingestion uses no root live capture external target or external network,CROSS-001;CONCURRENCY-001,PASS,environment.md,Dependency installation used PyPI; runtime verification did not use external network
XPHASE-REQ-001,Phase 0-2,User integration-verification specification,Configuration database ingestion audit API and restart work as one chain,CROSS-001,PASS,tests/e2e/test_phase_00_02_integration.py,
XPHASE-REQ-002,Phase 0-2,User integration-verification specification,Five lightweight concurrent jobs remain durable,CONCURRENCY-001,PASS,tests/integration/test_ingestion_concurrency.py,Lightweight check is not a performance benchmark
SCOPE-REQ-001,Phase 0-2,Implementation Roadmap Phase 3 boundary,No Phase 3 flow aggregation direction timeout or feature generation is implemented,P2-SUCCESS-020,PASS,tests/e2e/test_phase_00_02_integration.py,NetworkFlow repository remains empty after ingestion
