identifier,category,requirement,expected,test_nodes,status,exit_code,duration_seconds,evidence
ROB-001,malformed-pcap,Truncated and forged-length PCAP inputs fail closed.,Invalid captures are rejected without unbounded reads.,tests/unit/test_ingestion_adapters.py::test_pcap_inspector_rejects_truncation_and_record_overflow,PASS,0,0.5402928750263527,.                                                                        [100%] | 1 passed in 0.28s
ROB-002,invalid-csv,"Flow CSV schema, types, and finite values are validated.",Invalid flow CSV rows are rejected without persistence.,tests/unit/test_ingestion_adapters.py::test_flow_csv_inspector_validates_canonical_rows;tests/security/test_phase13_input_limits.py::test_flow_csv_rejects_missing_and_extra_schema_columns,PASS,0,4.083888499997556,..                                                                       [100%] | 2 passed in 3.41s
ROB-003,oversized-upload,Oversized multipart request bodies are rejected before parsing.,HTTP 413 is returned and no ingestion job is created.,tests/security/test_phase13_input_limits.py::test_api_rejects_raw_multipart_body_before_creating_an_ingestion_job,PASS,0,3.830614542006515,.                                                                        [100%] | 1 passed in 3.17s
ROB-004,model-schema,"Inference rejects feature schema, order, type, and finite-value drift.",Invalid inference batches fail closed before model execution.,tests/unit/test_anomaly_bundle_prediction.py::test_prediction_rejects_schema_order_dtype_nonfinite_and_empty,PASS,0,8.597658792044967,.                                                                        [100%] | 1 passed in 8.11s
ROB-005,path-traversal,User-controlled storage and archive paths cannot escape configured roots.,"Relative traversal, absolute paths, and unsafe archive members are rejected.",tests/unit/test_file_storage.py::test_storage_rejects_unsafe_or_unsupported_names;tests/security/test_dataset_download_security.py::test_archive_traversal_and_absolute_paths_are_rejected,PASS,0,0.5585247919661924,......                                                                   [100%] | 6 passed in 0.29s
ROB-006,sqlite-concurrency,Five controlled concurrent ingestion jobs survive a database restart.,Jobs have unique identities and reach durable terminal states without lock leakage.,tests/integration/test_ingestion_concurrency.py::test_five_concurrent_sample_jobs_survive_database_restart,PASS,0,0.6378242080099881,.                                                                        [100%] | 1 passed in 0.36s
ROB-007,corrupt-model,"Missing, extra, corrupt, and unsafe anomaly artifacts are rejected.",Bundle verification fails closed before deserialization or prediction.,tests/unit/test_anomaly_bundle_prediction.py::test_bundle_rejects_extra_missing_corrupt_and_unsafe_artifacts,PASS,0,9.43430033302866,.                                                                        [100%] | 1 passed in 8.95s
ROB-008,model-version-collision,Existing model identities cannot be silently overwritten.,A model-version collision is rejected and the original bundle remains intact.,tests/unit/test_anomaly_bundle_prediction.py::test_bundle_refuses_model_version_collision,PASS,0,9.611668708035722,.                                                                        [100%] | 1 passed in 9.12s
ROB-009,duplicate-ingestion,Duplicate names and content do not overwrite stored telemetry.,Jobs remain independently auditable while immutable content is safely reused.,tests/security/test_ingestion_security.py::test_duplicate_names_and_content_create_jobs_without_overwrite,PASS,0,4.190232250024565,.                                                                        [100%] | 1 passed in 3.49s
ROB-010,transaction-rollback,Rolled-back repository mutations do not survive a new session.,Commit and rollback boundaries remain durable and isolated.,tests/integration/test_phase_00_02_foundation.py::test_repository_commit_rollback_pagination_update_and_audit,PASS,0,4.308963292045519,.                                                                        [100%] | 1 passed in 3.58s
