requirement_id,requirement,source,implementation_evidence,test_evidence,documentation_evidence,status,limitation,reviewer_note
P0-FOUNDATION,Installable typed project CLI API and frontend,Project Plan / Roadmap Phase 0,pyproject.toml; src/aegishunt/cli.py; src/aegishunt/api; src/aegishunt/frontend,Phase 0 tests and Phase 14 clean-install gate,README.md; docs/installation.md,PASS,Local research prototype,Reverify wheel outside repository
P1-DATA,Validated configuration SQLite repositories schema and audit,Roadmap Phase 1,src/aegishunt/config.py; src/aegishunt/storage,Phase 1 repository/configuration tests,docs/data_model.md,PASS,SQLite single node,Schema version checked at startup
P2-INGEST,Secure PCAP CSV JSON and sample ingestion,Roadmap Phase 2,src/aegishunt/ingestion,Ingestion unit integration security tests,docs/system_requirements.md,PASS,Offline file ingestion only,No live capture
P3-FLOW,Deterministic bidirectional flow and 43 features,Roadmap Phase 3,src/aegishunt/flows,Flow key timeout numerical/schema tests,docs/feature_dictionary.md,PASS,Supported packet/link formats only,Runtime schema must match exactly
P4-DATASET,Registry conversion quality leakage and group splits,Roadmap Phase 4,src/aegishunt/datasets,Dataset workflow/quality/leakage tests,docs/dataset_selection.md; docs/dataset_schema.md,PASS,Public acquisition remains manual,Controlled demo is not benchmark
P5-SUPERVISED,Validation-selected supervised detector and frozen bundle,Roadmap Phase 5,src/aegishunt/ml/supervised,PM-DEF-001 and supervised E2E/bundle tests,docs/model_card.md; docs/releases/phase-05.md,PASS,Small controlled data,Corrective evidence is authoritative
P6-ANOMALY,Benign-only anomaly engine and qualified LOF candidate,Roadmap Phase 6,src/aegishunt/ml/anomaly,Anomaly workflow/bundle/regression tests,docs/anomaly_model_card.md,PARTIAL,LOF has no untouched independent holdout,Qualification boundary is explicit
P7-FUSION,Dual-engine fusion and unknown-behavior experiment,Roadmap Phase 7,src/aegishunt/ml/fusion,Fusion selection/LOAO/shift tests,docs/fusion_policy_card.md,PASS,Recommendation inconclusive and negative LOAO retained,Pass is pipeline/experiment implementation not superiority
P8-ALERT,DetectionResult risk severity alerts and explanation,Roadmap Phase 8,src/aegishunt/detection; src/aegishunt/explainability,Detection/explanation identity tests,docs/detection_explainability.md,PASS,Risk is not attack probability,Analyst review required
P9-HUNT,Bounded alert correlation and deterministic hypotheses,Roadmap Phase 9,src/aegishunt/correlation; src/aegishunt/hunting,Correlation/hypothesis lifecycle/E2E tests,docs/threat_hypothesis.md,PASS,Hypotheses are proposals not facts,Queries are never executed
P10-CASE,Investigation case notes evidence verdict feedback exports,Roadmap Phase 10,src/aegishunt/cases; src/aegishunt/feedback,Case/feedback/audit/export tests,docs/case_management.md; docs/analyst_feedback.md,PASS,Feedback may be noisy,No automatic retraining
P11-RUNTIME,Durable offline replay worker lifecycle and recovery,Roadmap Phase 11,src/aegishunt/runtime,Runtime replay/restart/persistence tests,docs/runtime_pipeline.md; docs/runtime_recovery.md,PASS,One worker and restart from origin,No exact cursor or distributed queue
P12-UI,Complete FastAPI and API-only Streamlit demo,Roadmap Phase 12,src/aegishunt/api; src/aegishunt/frontend,Phase 12 API/frontend/full demo E2E,docs/api_frontend.md,PASS,Loopback single user,No authentication/RBAC
P13-HARDEN,Security robustness coverage and performance evidence,Roadmap Phase 13,scripts/run_phase13_*; configs/hardening,Security/robustness/performance/core-coverage gates,docs/releases/phase-13.md,PASS,Formal final Codex Security rescan waived,Complementary tools are not rescan substitute
P14-PACKAGE,Wheel sdist metadata and clean install,Roadmap Phase 14,pyproject.toml; Dockerfile; scripts/build_release_bundle.py,Phase 14 package/clean-install tests,docs/installation.md,PASS,Install may require package index,Runtime is offline
P14-DOCKER,Non-root local Compose deployment,Roadmap Phase 14,Dockerfile; compose.yaml,Phase 14 Docker/Compose tests and exact-Head Linux CI,docs/docker_deployment.md,PASS,Local image retrieval was externally blocked; Linux CI independently passed the full non-root container analyst and restart workflow twice,Host ports loopback; dedicated bridge has no claimed egress firewall
